,Country,EdLevel,YearsCodePro,Salary
6027,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,12.0,173208.0
6031,United States of America,Master’s degree,3.0,250000.0
6032,United States of America,Master’s degree,2.0,90000.0
6036,United States of America,Less than a Bachelors degree,1.0,44000.0
6052,Germany,Bachelor’s degree,4.0,45396.0
6053,France,Master’s degree,1.0,42158.0
6054,United States of America,Bachelor’s degree,18.0,200000.0
6058,United States of America,Bachelor’s degree,8.0,175000.0
6060,United States of America,Bachelor’s degree,9.0,60000.0
6061,Canada,Bachelor’s degree,9.0,62774.0
6062,United States of America,Less than a Bachelors degree,5.0,107000.0
6069,Germany,Master’s degree,16.0,73507.0
6070,United States of America,Less than a Bachelors degree,7.0,85000.0
6071,United States of America,Bachelor’s degree,8.0,42000.0
6074,United States of America,Bachelor’s degree,7.0,63000.0
6075,United States of America,Bachelor’s degree,12.0,163000.0
6078,Brazil,Less than a Bachelors degree,10.0,32988.0
6079,France,Master’s degree,16.0,137226.0
6080,United States of America,Master’s degree,10.0,143000.0
6082,United States of America,Bachelor’s degree,30.0,84000.0
6083,France,Post graduation,6.0,38916.0
6084,United States of America,Bachelor’s degree,5.0,102700.0
6085,Canada,Bachelor’s degree,1.0,37816.0
6086,United States of America,Bachelor’s degree,3.0,147000.0
6091,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,45241.0
6094,United States of America,Master’s degree,16.0,160000.0
6096,United States of America,Master’s degree,4.0,108000.0
6097,United States of America,Bachelor’s degree,10.0,134000.0
6099,Germany,Master’s degree,4.0,54049.0
6102,United States of America,Bachelor’s degree,25.0,200000.0
6105,United States of America,Bachelor’s degree,6.0,160000.0
6106,Germany,Bachelor’s degree,4.0,64859.0
6107,Brazil,Bachelor’s degree,4.0,31608.0
6113,United States of America,Post graduation,3.0,47500.0
6114,United States of America,Master’s degree,3.0,95000.0
6119,United States of America,Bachelor’s degree,15.0,113000.0
6121,United States of America,Bachelor’s degree,1.0,48000.0
6129,Germany,Less than a Bachelors degree,7.0,70264.0
6130,United States of America,Bachelor’s degree,7.0,75000.0
6131,United States of America,Master’s degree,8.0,157000.0
6136,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,96945.0
6139,United States of America,Master’s degree,8.0,250000.0
6141,United States of America,Less than a Bachelors degree,2.0,80000.0
6148,United States of America,Master’s degree,1.0,119000.0
6153,United States of America,Less than a Bachelors degree,0.5,40000.0
6156,Canada,Bachelor’s degree,3.0,39328.0
6160,Netherlands,Less than a Bachelors degree,16.0,116746.0
6161,Canada,Master’s degree,8.0,60505.0
6167,United States of America,Bachelor’s degree,4.0,105000.0
6170,United States of America,Less than a Bachelors degree,7.0,85000.0
6172,India,Post graduation,12.0,139620.0
6174,Canada,Less than a Bachelors degree,14.0,87732.0
6175,Spain,Master’s degree,10.0,42158.0
6179,United States of America,Bachelor’s degree,1.0,56000.0
6181,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,68507.0
6188,United States of America,Bachelor’s degree,9.0,100000.0
6194,Germany,Bachelor’s degree,16.0,88640.0
6201,United States of America,Bachelor’s degree,14.0,92582.0
6202,United States of America,Post graduation,5.0,73000.0
6203,Canada,Less than a Bachelors degree,7.0,33278.0
6206,Brazil,Bachelor’s degree,3.0,17388.0
6216,Germany,Bachelor’s degree,18.0,140527.0
6217,Canada,Bachelor’s degree,2.0,72612.0
6218,Italy,Less than a Bachelors degree,10.0,51887.0
6219,United States of America,Master’s degree,10.0,200000.0
6221,United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,62045.0
6225,Netherlands,Bachelor’s degree,12.0,97288.0
6227,United States of America,Less than a Bachelors degree,26.0,124000.0
6230,United States of America,Bachelor’s degree,3.0,105000.0
6231,Germany,Less than a Bachelors degree,6.0,54480.0
6232,United States of America,Bachelor’s degree,5.0,90000.0
6234,United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,72385.0
6239,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,18.0,129259.0
6240,United States of America,Bachelor’s degree,6.0,96000.0
6244,United States of America,Bachelor’s degree,7.0,140000.0
6249,United States of America,Bachelor’s degree,0.5,48000.0
6251,Germany,Master’s degree,6.0,59454.0
6253,Brazil,Bachelor’s degree,5.0,19788.0
6255,Brazil,Bachelor’s degree,15.0,41232.0
6259,Germany,Master’s degree,7.0,61616.0
6260,United States of America,Bachelor’s degree,10.0,140000.0
6261,Canada,Post graduation,8.0,64287.0
6262,Brazil,Bachelor’s degree,1.0,10716.0
6285,United States of America,Bachelor’s degree,8.0,175000.0
6287,Canada,Master’s degree,16.0,121010.0
6289,United States of America,Bachelor’s degree,33.0,130000.0
6291,United States of America,Bachelor’s degree,8.0,104000.0
6292,Canada,Master’s degree,20.0,96808.0
6294,United States of America,Master’s degree,2.0,160000.0
6296,United States of America,Bachelor’s degree,17.0,190000.0
6298,Canada,Bachelor’s degree,5.0,68068.0
6310,United States of America,Master’s degree,3.0,115000.0
6312,United States of America,Post graduation,9.0,230000.0
6313,Germany,Master’s degree,1.0,56211.0
6317,United States of America,Less than a Bachelors degree,4.0,150000.0
6319,Spain,Less than a Bachelors degree,5.0,34591.0
6326,Canada,Bachelor’s degree,3.0,60505.0
6327,United States of America,Master’s degree,1.0,87500.0
6332,Canada,Post graduation,3.0,71850.0
6336,United States of America,Bachelor’s degree,10.0,160000.0
6339,Germany,Master’s degree,15.0,58368.0
6349,Spain,Bachelor’s degree,2.0,17508.0
6357,Germany,Bachelor’s degree,6.0,61620.0
6360,Netherlands,Master’s degree,22.0,43239.0
6368,United States of America,Bachelor’s degree,10.0,149000.0
6371,Netherlands,Bachelor’s degree,10.0,64859.0
6373,United States of America,Bachelor’s degree,10.0,185000.0
6379,Germany,Bachelor’s degree,3.0,47352.0
6388,Germany,Bachelor’s degree,2.0,44320.0
6389,Germany,Less than a Bachelors degree,28.0,75669.0
6391,United States of America,Bachelor’s degree,15.0,140000.0
6392,United States of America,Bachelor’s degree,2.0,30000.0
6393,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,19.0,122796.0
6396,United States of America,Bachelor’s degree,3.0,68000.0
6397,United States of America,Master’s degree,6.0,120000.0
6399,United States of America,Bachelor’s degree,5.0,80000.0
6400,United States of America,Less than a Bachelors degree,24.0,151400.0
6403,Canada,Bachelor’s degree,2.0,49538.0
6405,Germany,Master’s degree,10.0,49296.0
6408,Germany,Bachelor’s degree,7.0,59454.0
6411,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,129259.0
6417,United States of America,Less than a Bachelors degree,20.0,41000.0
6418,United States of America,Less than a Bachelors degree,15.0,140000.0
6419,United States of America,Bachelor’s degree,13.0,130000.0
6422,United States of America,Bachelor’s degree,9.0,160000.0
6425,Brazil,Bachelor’s degree,2.0,11304.0
6426,United States of America,Master’s degree,31.0,160000.0
6430,France,Master’s degree,4.0,42720.0
6433,Canada,Bachelor’s degree,39.0,75631.0
6438,United States of America,Bachelor’s degree,4.0,115000.0
6439,United States of America,Less than a Bachelors degree,1.0,50000.0
6449,Germany,Master’s degree,23.0,90802.0
6452,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,20.0,112456.0
6454,United States of America,Bachelor’s degree,10.0,130000.0
6459,United States of America,Bachelor’s degree,15.0,220000.0
6461,United States of America,Bachelor’s degree,2.0,135000.0
6462,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,5.0,35342.0
6464,Germany,Master’s degree,3.0,35028.0
6469,United States of America,Bachelor’s degree,2.0,60000.0
6473,United Kingdom of Great Britain and Northern Ireland,Master’s degree,33.0,206815.0
6476,United States of America,Post graduation,3.0,48000.0
6477,Brazil,Less than a Bachelors degree,6.0,24744.0
6478,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,27.0,86604.0
6479,Germany,Master’s degree,3.0,59454.0
6482,United States of America,Bachelor’s degree,15.0,109000.0
6485,United States of America,Less than a Bachelors degree,5.0,115500.0
6490,United States of America,Bachelor’s degree,5.0,98000.0
6496,United States of America,Bachelor’s degree,24.0,75000.0
6498,Netherlands,Master’s degree,4.0,75669.0
6504,United States of America,Master’s degree,1.0,130000.0
6506,United Kingdom of Great Britain and Northern Ireland,Master’s degree,7.0,77556.0
6509,United States of America,Bachelor’s degree,24.0,100000.0
6510,Germany,Master’s degree,13.0,64859.0
6511,United States of America,Master’s degree,12.0,75000.0
6513,United States of America,Bachelor’s degree,3.0,87500.0
6514,Canada,Bachelor’s degree,2.0,46740.0
6516,United States of America,Bachelor’s degree,21.0,144000.0
6518,United States of America,Bachelor’s degree,2.0,60000.0
6519,France,Master’s degree,5.0,44100.0
6524,United States of America,Bachelor’s degree,3.0,125000.0
6531,United States of America,Master’s degree,6.0,55000.0
6536,Germany,Master’s degree,35.0,108098.0
6537,Netherlands,Master’s degree,20.0,86478.0
6538,Germany,Bachelor’s degree,0.5,14760.0
6542,United States of America,Less than a Bachelors degree,2.0,35000.0
6543,Brazil,Bachelor’s degree,6.0,43980.0
6545,France,Master’s degree,5.0,38916.0
6550,Germany,Less than a Bachelors degree,20.0,86484.0
6554,France,Post graduation,19.0,43239.0
6555,Brazil,Master’s degree,15.0,19236.0
6556,United States of America,Bachelor’s degree,8.0,135000.0
6567,United States of America,Less than a Bachelors degree,3.0,70000.0
6569,United States of America,Less than a Bachelors degree,5.0,88000.0
6572,United States of America,Less than a Bachelors degree,5.0,145000.0
6578,United States of America,Master’s degree,5.0,138114.0
6582,Spain,Master’s degree,18.0,70264.0
6584,United States of America,Bachelor’s degree,10.0,130000.0
6586,Brazil,Master’s degree,6.0,21660.0
6588,United States of America,Bachelor’s degree,12.0,171000.0
6589,United States of America,Less than a Bachelors degree,20.0,90000.0
6590,Brazil,Bachelor’s degree,8.0,34360.0
6591,United Kingdom of Great Britain and Northern Ireland,Master’s degree,10.0,84019.0
6592,United States of America,Bachelor’s degree,2.0,126000.0
6597,Canada,Bachelor’s degree,0.5,41597.0
6602,United States of America,Master’s degree,6.0,195000.0
6607,India,Less than a Bachelors degree,5.0,12566.0
6608,France,Master’s degree,7.0,38915.0
6609,Netherlands,Bachelor’s degree,7.0,102693.0
6614,Germany,Less than a Bachelors degree,11.0,57072.0
6615,Canada,Less than a Bachelors degree,14.0,113447.0
6624,Germany,Less than a Bachelors degree,1.0,59454.0
6632,United Kingdom of Great Britain and Northern Ireland,Master’s degree,3.0,44595.0
6637,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,32.0,161574.0
6638,United States of America,Bachelor’s degree,4.0,187000.0
6640,United States of America,Master’s degree,3.0,95000.0
6641,United States of America,Bachelor’s degree,9.0,98000.0
6642,United States of America,Bachelor’s degree,17.0,240000.0
6644,United States of America,Bachelor’s degree,6.0,175000.0
6649,United States of America,Less than a Bachelors degree,4.0,75000.0
6655,Canada,Bachelor’s degree,8.0,113447.0
6659,United Kingdom of Great Britain and Northern Ireland,Master’s degree,8.0,116333.0
6661,Italy,Post graduation,20.0,43239.0
6667,United States of America,Bachelor’s degree,3.0,205000.0
6672,Canada,Less than a Bachelors degree,20.0,60505.0
6678,Germany,Less than a Bachelors degree,26.0,97288.0
6681,Germany,Master’s degree,21.0,75669.0
6684,United States of America,Bachelor’s degree,8.0,115000.0
6688,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,24.0,82726.0
6689,United States of America,Less than a Bachelors degree,25.0,155000.0
6694,Canada,Bachelor’s degree,2.0,200000.0
6698,Germany,Master’s degree,17.0,79993.0
6700,United States of America,Bachelor’s degree,7.0,108000.0
6702,Germany,Less than a Bachelors degree,3.0,32424.0
6706,Germany,Bachelor’s degree,6.0,67452.0
6707,United States of America,Master’s degree,2.0,120000.0
6708,United States of America,Master’s degree,5.0,55000.0
6713,United States of America,Bachelor’s degree,2.0,150000.0
6719,Germany,Bachelor’s degree,23.0,70264.0
6720,United States of America,Bachelor’s degree,20.0,102000.0
6726,United States of America,Master’s degree,5.0,98000.0
6736,Germany,Master’s degree,5.0,59454.0
6737,United States of America,Bachelor’s degree,10.0,67000.0
6745,United States of America,Bachelor’s degree,14.0,125000.0
6762,United States of America,Less than a Bachelors degree,10.0,110000.0
6765,Brazil,Bachelor’s degree,3.0,10176.0
6768,United States of America,Bachelor’s degree,4.0,140000.0
6769,Canada,Bachelor’s degree,5.0,69959.0
6770,France,Master’s degree,17.0,34591.0
6774,United States of America,Master’s degree,15.0,150000.0
6775,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,3.0,51704.0
6781,Germany,Master’s degree,6.0,58368.0
6782,United States of America,Bachelor’s degree,12.0,54135.0
6785,United States of America,Bachelor’s degree,9.0,230000.0
6786,United States of America,Master’s degree,27.0,180000.0
6787,Brazil,Bachelor’s degree,4.0,16488.0
6789,Germany,Master’s degree,8.0,64859.0
6792,India,Bachelor’s degree,7.0,41885.0
6796,United States of America,Bachelor’s degree,2.0,130000.0
6801,Italy,Master’s degree,3.0,44320.0
6807,Canada,Bachelor’s degree,10.0,60505.0
6812,Brazil,Bachelor’s degree,10.0,28584.0
6815,United States of America,Bachelor’s degree,0.5,80000.0
6816,United States of America,Bachelor’s degree,4.0,128000.0
6817,United States of America,Bachelor’s degree,3.0,52000.0
6820,Brazil,Bachelor’s degree,20.0,140275.0
6823,United States of America,Bachelor’s degree,0.5,85000.0
6825,Italy,Master’s degree,8.0,34591.0
6826,France,Master’s degree,10.0,52968.0
6830,Germany,Master’s degree,13.0,67021.0
6832,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,206815.0
6833,United States of America,Master’s degree,2.0,90000.0
6834,United States of America,Master’s degree,20.0,125000.0
6835,United States of America,Bachelor’s degree,3.0,78153.0
6839,India,Bachelor’s degree,6.0,18150.0
6844,United States of America,Bachelor’s degree,10.0,100000.0
6846,Brazil,Bachelor’s degree,9.0,36144.0
6851,Netherlands,Less than a Bachelors degree,13.0,95126.0
6852,United States of America,Master’s degree,14.0,158000.0
6858,Brazil,Bachelor’s degree,8.0,13740.0
6860,Canada,Bachelor’s degree,2.0,60505.0
6861,United States of America,Bachelor’s degree,5.0,70000.0
6862,Germany,Bachelor’s degree,6.0,72426.0
6874,United States of America,Bachelor’s degree,8.0,84556.0
6876,United States of America,Master’s degree,32.0,167000.0
6882,United States of America,Less than a Bachelors degree,22.0,105000.0
6884,United States of America,Master’s degree,4.0,86000.0
6886,Canada,Bachelor’s degree,4.0,128573.0
6889,United States of America,Less than a Bachelors degree,13.0,160000.0
6890,Germany,Less than a Bachelors degree,6.0,67021.0
6892,United States of America,Bachelor’s degree,22.0,127000.0
6896,Netherlands,Bachelor’s degree,12.0,56211.0
6897,United States of America,Master’s degree,24.0,82500.0
6900,United States of America,Less than a Bachelors degree,10.0,150000.0
6901,United States of America,Master’s degree,22.0,120000.0
6908,United States of America,Less than a Bachelors degree,12.0,51000.0
6909,United States of America,Bachelor’s degree,4.0,34000.0
6915,Canada,Bachelor’s degree,9.0,71093.0
6917,United States of America,Bachelor’s degree,7.0,165000.0
6918,United States of America,Bachelor’s degree,7.0,90800.0
6919,Germany,Master’s degree,5.0,59454.0
6927,United States of America,Less than a Bachelors degree,5.0,104000.0
6928,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,12.0,51704.0
6930,United States of America,Bachelor’s degree,26.0,135000.0
6933,United States of America,Less than a Bachelors degree,4.0,95000.0
6934,Canada,Master’s degree,3.0,68068.0
6939,United States of America,Bachelor’s degree,7.0,85000.0
6943,United States of America,Bachelor’s degree,1.0,85000.0
6948,United States of America,Master’s degree,15.0,125000.0
6949,United States of America,Master’s degree,1.0,105000.0
6960,United States of America,Less than a Bachelors degree,17.0,200000.0
6961,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,15.0,187426.0
6963,United States of America,Master’s degree,15.0,124000.0
6967,United Kingdom of Great Britain and Northern Ireland,Master’s degree,3.0,95652.0
6974,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,22.0,81433.0
6978,Germany,Bachelor’s degree,4.0,57292.0
6981,United States of America,Less than a Bachelors degree,18.0,68000.0
6982,France,Master’s degree,7.0,106731.0
6985,United States of America,Master’s degree,2.0,92000.0
6986,United States of America,Bachelor’s degree,0.5,65000.0
6989,Germany,Bachelor’s degree,11.0,75669.0
6991,Brazil,Bachelor’s degree,8.0,32988.0
6998,United States of America,Bachelor’s degree,12.0,170000.0
6999,United States of America,Master’s degree,8.0,180000.0
7001,United States of America,Bachelor’s degree,12.0,135000.0
7003,United States of America,Less than a Bachelors degree,1.0,64000.0
7008,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,32.0,90482.0
7011,United States of America,Bachelor’s degree,11.0,210000.0
7017,United States of America,Master’s degree,1.0,154000.0
7019,Germany,Post graduation,10.0,75669.0
7022,Germany,Bachelor’s degree,2.0,45942.0
7024,United States of America,Bachelor’s degree,10.0,128750.0
7028,Canada,Bachelor’s degree,10.0,79413.0
7033,United States of America,Post graduation,15.0,225000.0
7034,United States of America,Less than a Bachelors degree,1.0,36000.0
7037,Netherlands,Bachelor’s degree,15.0,74592.0
7041,Canada,Bachelor’s degree,11.0,90758.0
7043,Canada,Bachelor’s degree,4.0,75631.0
7047,United States of America,Less than a Bachelors degree,4.0,150000.0
7057,Germany,Master’s degree,14.0,86478.0
7059,United States of America,Bachelor’s degree,10.0,105000.0
7062,Brazil,Bachelor’s degree,5.0,46728.0
7070,United States of America,Master’s degree,4.0,80000.0
7079,United States of America,Bachelor’s degree,25.0,200000.0
7080,United States of America,Less than a Bachelors degree,8.0,95000.0
7084,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,8.0,54289.0
7093,Canada,Bachelor’s degree,5.0,75631.0
7094,United States of America,Master’s degree,5.0,100000.0
7098,United States of America,Less than a Bachelors degree,6.0,93600.0
7099,Canada,Less than a Bachelors degree,10.0,45379.0
7100,United States of America,Bachelor’s degree,12.0,150000.0
7105,France,Bachelor’s degree,4.0,61616.0
7111,United Kingdom of Great Britain and Northern Ireland,Master’s degree,2.0,77556.0
7122,Netherlands,Bachelor’s degree,26.0,64860.0
7128,Brazil,Bachelor’s degree,2.0,19236.0
7129,Germany,Bachelor’s degree,5.0,78371.0
7132,United States of America,Bachelor’s degree,4.0,120000.0
7136,Germany,Master’s degree,15.0,97288.0
7142,Netherlands,Bachelor’s degree,7.0,50157.0
7143,United States of America,Bachelor’s degree,10.0,140000.0
7144,United States of America,Less than a Bachelors degree,4.0,69800.0
7145,India,Bachelor’s degree,5.0,64224.0
7146,United States of America,Bachelor’s degree,4.0,85000.0
7149,United States of America,Post graduation,45.0,160000.0
7150,Canada,Less than a Bachelors degree,4.0,68068.0
7152,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,155111.0
7155,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,8.0,71093.0
7160,United Kingdom of Great Britain and Northern Ireland,Post graduation,9.0,209400.0
7168,India,Bachelor’s degree,4.0,65620.0
7170,United States of America,Bachelor’s degree,5.0,120000.0
7172,United States of America,Bachelor’s degree,13.0,155000.0
7175,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,21.0,109871.0
7185,Canada,Less than a Bachelors degree,9.0,94539.0
7187,United States of America,Bachelor’s degree,2.0,200000.0
7188,Canada,Master’s degree,8.0,90758.0
7189,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,1.0,32315.0
7193,Canada,Less than a Bachelors degree,10.0,69581.0
7194,United States of America,Less than a Bachelors degree,10.0,135000.0
7195,United States of America,Master’s degree,15.0,120000.0
7197,United States of America,Master’s degree,10.0,225000.0
7199,United States of America,Less than a Bachelors degree,21.0,130000.0
7201,Germany,Bachelor’s degree,19.0,85397.0
7202,United States of America,Bachelor’s degree,4.0,54000.0
7203,United States of America,Bachelor’s degree,0.5,50000.0
7204,Canada,Less than a Bachelors degree,29.0,80000.0
7209,France,Bachelor’s degree,3.0,22704.0
7212,Germany,Less than a Bachelors degree,5.0,57072.0
7213,United States of America,Bachelor’s degree,34.0,120000.0
7214,Germany,Master’s degree,3.0,69183.0
7219,United States of America,Less than a Bachelors degree,3.0,130000.0
7220,France,Master’s degree,6.0,49725.0
7222,United States of America,Master’s degree,36.0,160000.0
7225,Italy,Less than a Bachelors degree,1.0,24322.0
7227,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,99530.0
7229,United States of America,Bachelor’s degree,14.0,77830.0
7231,Canada,Master’s degree,10.0,105884.0
7235,Netherlands,Bachelor’s degree,2.0,45396.0
7241,Canada,Bachelor’s degree,11.0,87732.0
7242,United States of America,Bachelor’s degree,8.0,142000.0
7245,United States of America,Bachelor’s degree,2.0,80000.0
7249,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,7.0,106639.0
7253,United States of America,Master’s degree,8.0,78000.0
7257,United States of America,Less than a Bachelors degree,21.0,185000.0
7259,United States of America,Bachelor’s degree,12.0,100000.0
7261,Spain,Bachelor’s degree,5.0,43239.0
7262,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,1.0,186132.0
7266,United States of America,Bachelor’s degree,6.0,75000.0
7267,United States of America,Bachelor’s degree,13.0,132000.0
7268,United States of America,Bachelor’s degree,4.0,230000.0
7272,Germany,Bachelor’s degree,5.0,70264.0
7274,Canada,Bachelor’s degree,2.0,45379.0
7278,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,11.0,60106.0
7280,United Kingdom of Great Britain and Northern Ireland,Post graduation,28.0,65922.0
7281,United States of America,Bachelor’s degree,3.0,86000.0
7282,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,15.0,67215.0
7283,Brazil,Bachelor’s degree,20.0,41691.0
7285,Netherlands,Master’s degree,5.0,75452.0
7287,United States of America,Bachelor’s degree,4.0,45000.0
7290,United States of America,Bachelor’s degree,3.0,150000.0
7294,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,1.0,32315.0
7295,United States of America,Less than a Bachelors degree,4.0,86000.0
7297,Canada,Bachelor’s degree,7.0,71850.0
7300,United States of America,Bachelor’s degree,2.0,215000.0
7301,United States of America,Master’s degree,5.0,150000.0
7306,United States of America,Bachelor’s degree,3.0,105000.0
7312,United States of America,Bachelor’s degree,5.0,100000.0
7318,Germany,Bachelor’s degree,10.0,70044.0
7322,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,45887.0
7325,United States of America,Post graduation,44.0,98000.0
7328,United States of America,Bachelor’s degree,4.0,100000.0
7334,United States of America,Bachelor’s degree,6.0,95000.0
7335,Brazil,Bachelor’s degree,31.0,21996.0
7336,United States of America,Bachelor’s degree,15.0,160000.0
7339,Brazil,Less than a Bachelors degree,4.0,19236.0
7340,United States of America,Bachelor’s degree,3.0,150000.0
7342,Netherlands,Less than a Bachelors degree,11.0,97288.0
7343,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,65922.0
7344,Canada,Bachelor’s degree,27.0,51429.0
7347,United States of America,Bachelor’s degree,9.0,170000.0
7352,India,Bachelor’s degree,2.0,13445.0
7353,France,Master’s degree,0.5,25944.0
7354,United States of America,Bachelor’s degree,3.0,62000.0
7356,United States of America,Bachelor’s degree,4.0,109200.0
7358,Germany,Bachelor’s degree,8.0,75669.0
7361,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,17.0,27924.0
7365,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,44595.0
7372,United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,103408.0
7374,Germany,Master’s degree,13.0,81074.0
7375,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,3.0,36193.0
7382,United Kingdom of Great Britain and Northern Ireland,Master’s degree,10.0,77556.0
7384,United States of America,Bachelor’s degree,8.0,125000.0
7390,United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,41363.0
7392,United States of America,Bachelor’s degree,21.0,180000.0
7393,United States of America,Master’s degree,2.0,90000.0
7398,United States of America,Master’s degree,10.0,115200.0
7402,United States of America,Less than a Bachelors degree,0.5,47000.0
7404,United States of America,Bachelor’s degree,4.0,140000.0
7408,Brazil,Less than a Bachelors degree,6.0,10992.0
7412,Netherlands,Master’s degree,12.0,51888.0
7413,United States of America,Bachelor’s degree,4.0,108000.0
7414,Canada,Less than a Bachelors degree,20.0,75631.0
7415,United States of America,Bachelor’s degree,3.0,250000.0
7421,United States of America,Less than a Bachelors degree,5.0,70000.0
7423,Canada,Bachelor’s degree,10.0,52186.0
7429,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,1.0,84019.0
7432,United States of America,Less than a Bachelors degree,4.0,98000.0
7433,United States of America,Master’s degree,5.0,160000.0
7436,United States of America,Bachelor’s degree,23.0,108000.0
7439,United States of America,Bachelor’s degree,5.0,174000.0
7440,Germany,Master’s degree,20.0,90802.0
7443,United States of America,Post graduation,30.0,150000.0
7445,Canada,Less than a Bachelors degree,4.0,52942.0
7449,Netherlands,Bachelor’s degree,12.0,77832.0
7461,United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,183750.0
7465,India,Bachelor’s degree,5.0,10056.0
7466,Germany,Master’s degree,5.0,64859.0
7469,United States of America,Bachelor’s degree,3.0,230000.0
7476,United States of America,Bachelor’s degree,5.0,45000.0
7483,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,19.0,106639.0
7484,Germany,Less than a Bachelors degree,24.0,51887.0
7487,United States of America,Bachelor’s degree,17.0,155000.0
7490,Brazil,Less than a Bachelors degree,6.0,57600.0
7493,United States of America,Bachelor’s degree,12.0,156000.0
7494,United States of America,Less than a Bachelors degree,13.0,200000.0
7498,United States of America,Master’s degree,13.0,110000.0
7504,Germany,Master’s degree,2.0,60535.0
7505,Canada,Bachelor’s degree,3.0,45379.0
7510,Germany,Post graduation,18.0,67453.0
7511,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,19.0,87250.0
7513,United States of America,Bachelor’s degree,3.0,85000.0
7524,France,Post graduation,4.0,43239.0
7526,Netherlands,Bachelor’s degree,16.0,98369.0
7535,Canada,Bachelor’s degree,14.0,71850.0
7537,United States of America,Bachelor’s degree,9.0,110000.0
7538,United States of America,Bachelor’s degree,3.0,203660.0
7539,United States of America,Bachelor’s degree,9.0,123000.0
7547,United States of America,Master’s degree,3.0,250000.0
7549,United States of America,Bachelor’s degree,9.0,95000.0
7550,United States of America,Master’s degree,18.0,180000.0
7553,United States of America,Less than a Bachelors degree,5.0,75000.0
7555,Canada,Bachelor’s degree,10.0,64287.0
7556,United States of America,Less than a Bachelors degree,10.0,98000.0
7558,United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,193889.0
7562,United States of America,Master’s degree,1.0,150000.0
7565,Brazil,Less than a Bachelors degree,3.0,12096.0
7566,Netherlands,Master’s degree,3.0,47563.0
7567,Spain,Bachelor’s degree,10.0,64859.0
7577,Italy,Less than a Bachelors degree,1.0,25944.0
7579,France,Bachelor’s degree,3.0,33732.0
7580,France,Master’s degree,1.0,33732.0
7584,Canada,Less than a Bachelors degree,13.0,81682.0
7593,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,92420.0
7598,United States of America,Master’s degree,6.0,112000.0
7601,United States of America,Post graduation,2.0,185500.0
7610,Brazil,Less than a Bachelors degree,3.0,10995.0
7616,United States of America,Master’s degree,30.0,230000.0
7617,United States of America,Less than a Bachelors degree,2.0,60000.0
7619,United States of America,Bachelor’s degree,4.0,108964.0
7620,United States of America,Bachelor’s degree,22.0,230000.0
7623,United States of America,Bachelor’s degree,2.0,35000.0
7627,United Kingdom of Great Britain and Northern Ireland,Master’s degree,8.0,68249.0
7631,United States of America,Less than a Bachelors degree,4.0,105000.0
