,Country,EdLevel,YearsCodePro,Salary
190,United States of America,Master’s degree,9.0,70000.0
199,United States of America,Less than a Bachelors degree,5.0,90000.0
203,Netherlands,Bachelor’s degree,6.0,50592.0
206,United States of America,Master’s degree,2.0,193000.0
209,Australia,Master’s degree,2.0,96874.0
210,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,14.0,77556.0
226,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,103408.0
227,France,Master’s degree,5.0,44320.0
234,United States of America,Bachelor’s degree,22.0,165000.0
237,Germany,Less than a Bachelors degree,5.0,51888.0
244,France,Master’s degree,9.0,64859.0
245,Germany,Less than a Bachelors degree,3.0,42158.0
246,Germany,Bachelor’s degree,7.0,32424.0
249,United States of America,Bachelor’s degree,2.0,60000.0
252,France,Post graduation,12.0,35028.0
258,Germany,Post graduation,8.0,74588.0
261,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,50153.0
262,India,Master’s degree,11.0,30716.0
263,France,Master’s degree,7.0,77831.0
268,Germany,Master’s degree,2.0,54049.0
271,France,Master’s degree,7.0,41077.0
275,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,2.0,19389.0
276,France,Master’s degree,15.0,77831.0
278,United States of America,Bachelor’s degree,13.0,160000.0
285,United States of America,Bachelor’s degree,9.0,107972.0
290,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,6.0,48472.0
292,United States of America,Bachelor’s degree,16.0,120000.0
300,Spain,Post graduation,5.0,32429.0
301,Spain,Master’s degree,10.0,12972.0
305,Spain,Bachelor’s degree,4.0,28105.0
312,United Kingdom of Great Britain and Northern Ireland,Post graduation,4.0,51704.0
318,Germany,Bachelor’s degree,15.0,70264.0
323,United States of America,Master’s degree,13.0,115000.0
324,United States of America,Bachelor’s degree,12.0,144000.0
327,Germany,Master’s degree,21.0,70264.0
332,Canada,Less than a Bachelors degree,34.0,181515.0
334,United States of America,Less than a Bachelors degree,22.0,105000.0
335,Germany,Master’s degree,5.0,56211.0
336,United Kingdom of Great Britain and Northern Ireland,Master’s degree,7.0,64630.0
338,Germany,Less than a Bachelors degree,11.0,64859.0
345,United States of America,Master’s degree,10.0,110000.0
347,United States of America,Bachelor’s degree,15.0,120000.0
351,Germany,Less than a Bachelors degree,6.0,48644.0
356,Netherlands,Less than a Bachelors degree,4.0,35676.0
359,Canada,Bachelor’s degree,4.0,75631.0
363,United States of America,Less than a Bachelors degree,39.0,70000.0
364,Germany,Master’s degree,9.0,58373.0
368,United States of America,Less than a Bachelors degree,4.0,58000.0
369,Germany,Bachelor’s degree,6.0,61616.0
371,France,Post graduation,13.0,59454.0
374,Canada,Master’s degree,6.0,68068.0
377,United States of America,Bachelor’s degree,4.0,74000.0
378,India,Bachelor’s degree,5.0,217800.0
379,Netherlands,Post graduation,14.0,118908.0
380,United States of America,Less than a Bachelors degree,1.0,40000.0
382,Canada,Bachelor’s degree,8.0,71850.0
383,Canada,Bachelor’s degree,14.0,66934.0
393,United States of America,Less than a Bachelors degree,7.0,63385.0
398,United States of America,Master’s degree,20.0,108000.0
399,Germany,Less than a Bachelors degree,7.0,58373.0
406,United Kingdom of Great Britain and Northern Ireland,Master’s degree,24.0,55582.0
409,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,27.0,71093.0
413,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,21.0,60752.0
432,United States of America,Post graduation,6.0,90000.0
433,United States of America,Bachelor’s degree,3.0,67000.0
434,India,Bachelor’s degree,4.0,21676.0
437,United States of America,Less than a Bachelors degree,16.0,195000.0
439,United Kingdom of Great Britain and Northern Ireland,Post graduation,23.0,155111.0
441,France,Bachelor’s degree,12.0,123228.0
456,Italy,Bachelor’s degree,12.0,17508.0
458,France,Master’s degree,3.0,48644.0
463,United States of America,Master’s degree,12.0,29000.0
464,United States of America,Less than a Bachelors degree,6.0,170000.0
469,United States of America,Bachelor’s degree,4.0,70000.0
473,United States of America,Less than a Bachelors degree,2.0,40000.0
474,Netherlands,Bachelor’s degree,4.0,40212.0
475,Canada,Less than a Bachelors degree,7.0,90758.0
477,United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,54224.0
481,United States of America,Bachelor’s degree,4.0,85000.0
482,Germany,Bachelor’s degree,1.0,64859.0
485,Netherlands,Master’s degree,30.0,62268.0
487,Canada,Less than a Bachelors degree,5.0,31750.0
489,United States of America,Master’s degree,2.0,100000.0
491,United States of America,Bachelor’s degree,3.0,92000.0
492,Spain,Bachelor’s degree,4.0,34591.0
494,United States of America,Master’s degree,12.0,135000.0
495,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,71093.0
499,United States of America,Bachelor’s degree,4.0,150000.0
500,United States of America,Bachelor’s degree,19.0,65000.0
503,Spain,Post graduation,20.0,64859.0
509,India,Less than a Bachelors degree,10.0,16416.0
512,Italy,Bachelor’s degree,3.0,35672.0
516,Germany,Bachelor’s degree,3.0,59454.0
518,France,Master’s degree,9.0,45396.0
526,United States of America,Post graduation,35.0,110000.0
533,Germany,Bachelor’s degree,3.0,31128.0
534,Brazil,Bachelor’s degree,12.0,96204.0
536,France,Master’s degree,6.0,88640.0
538,Spain,Less than a Bachelors degree,2.0,20539.0
539,United States of America,Master’s degree,21.0,190000.0
540,United Kingdom of Great Britain and Northern Ireland,Post graduation,10.0,49765.0
541,France,Master’s degree,10.0,48644.0
544,United States of America,Bachelor’s degree,8.0,57765.0
545,United States of America,Bachelor’s degree,3.0,40000.0
546,United States of America,Less than a Bachelors degree,2.0,37440.0
547,Canada,Bachelor’s degree,9.0,83194.0
560,United States of America,Master’s degree,4.0,133000.0
562,Germany,Less than a Bachelors degree,13.0,69183.0
565,Italy,Less than a Bachelors degree,8.0,47563.0
566,Netherlands,Bachelor’s degree,12.0,118908.0
569,France,Master’s degree,6.0,69183.0
571,India,Bachelor’s degree,8.0,29320.0
579,United States of America,Master’s degree,5.0,150000.0
581,France,Master’s degree,7.0,64859.0
582,Italy,Master’s degree,17.0,59454.0
585,France,Master’s degree,5.0,36753.0
587,United States of America,Bachelor’s degree,19.0,125000.0
588,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,63854.0
591,India,Less than a Bachelors degree,10.0,123984.0
596,Netherlands,Master’s degree,4.0,46482.0
607,Italy,Master’s degree,3.0,35672.0
615,Germany,Bachelor’s degree,7.0,86478.0
618,India,Bachelor’s degree,7.0,134028.0
619,United States of America,Bachelor’s degree,25.0,98000.0
621,Germany,Less than a Bachelors degree,18.0,54049.0
624,United States of America,Bachelor’s degree,3.0,73500.0
625,Netherlands,Master’s degree,7.0,56211.0
632,France,Bachelor’s degree,25.0,183767.0
634,India,Bachelor’s degree,2.0,25128.0
638,Germany,Less than a Bachelors degree,4.0,36324.0
639,United States of America,Bachelor’s degree,1.0,82000.0
642,United States of America,Post graduation,10.0,105000.0
650,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,2.0,28437.0
652,Germany,Bachelor’s degree,5.0,101612.0
654,United States of America,Bachelor’s degree,9.0,135000.0
655,India,Bachelor’s degree,7.0,31332.0
657,Netherlands,Bachelor’s degree,6.0,50806.0
660,France,Less than a Bachelors degree,3.0,41077.0
662,France,Master’s degree,5.0,45401.0
666,United States of America,Bachelor’s degree,8.0,200000.0
668,India,Master’s degree,3.0,40489.0
669,United States of America,Master’s degree,10.0,58000.0
672,United Kingdom of Great Britain and Northern Ireland,Master’s degree,3.0,48472.0
675,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,0.5,19389.0
676,Germany,Bachelor’s degree,7.0,43239.0
677,Spain,Less than a Bachelors degree,8.0,16215.0
680,Germany,Post graduation,7.0,51888.0
681,Spain,Bachelor’s degree,30.0,45396.0
682,Italy,Post graduation,6.0,33095.0
684,United States of America,Bachelor’s degree,2.0,70000.0
686,Netherlands,Master’s degree,9.0,57072.0
687,United States of America,Bachelor’s degree,20.0,130000.0
691,Brazil,Bachelor’s degree,4.0,22536.0
694,Germany,Less than a Bachelors degree,14.0,56208.0
696,United States of America,Bachelor’s degree,33.0,175000.0
702,Canada,Less than a Bachelors degree,25.0,68068.0
703,United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,49119.0
709,United States of America,Less than a Bachelors degree,4.0,55702.0
713,France,Master’s degree,5.0,39131.0
715,United States of America,Bachelor’s degree,4.0,72000.0
716,United States of America,Less than a Bachelors degree,20.0,110000.0
717,Italy,Less than a Bachelors degree,12.0,45401.0
718,United States of America,Bachelor’s degree,13.0,155000.0
726,Germany,Less than a Bachelors degree,14.0,75885.0
728,United States of America,Master’s degree,7.0,125000.0
729,United States of America,Bachelor’s degree,35.0,70000.0
732,United States of America,Less than a Bachelors degree,4.0,105000.0
734,Brazil,Post graduation,4.0,10992.0
741,Germany,Master’s degree,10.0,77832.0
751,United States of America,Less than a Bachelors degree,25.0,156000.0
755,Canada,Bachelor’s degree,5.0,77900.0
759,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors degree,6.0,51704.0
760,France,Master’s degree,16.0,50806.0
768,United States of America,Bachelor’s degree,9.0,230000.0
774,Germany,Master’s degree,4.0,45401.0
775,United States of America,Bachelor’s degree,15.0,120000.0
776,United States of America,Bachelor’s degree,8.0,66500.0
785,United States of America,Bachelor’s degree,7.0,125000.0
786,France,Master’s degree,6.0,46482.0
788,India,Bachelor’s degree,10.0,29320.0
791,United Kingdom of Great Britain and Northern Ireland,Master’s degree,22.0,116333.0
793,France,Post graduation,3.0,54049.0
794,Germany,Post graduation,12.0,54049.0
796,Italy,Less than a Bachelors degree,6.0,32429.0
797,Italy,Master’s degree,5.0,27240.0
800,United Kingdom of Great Britain and Northern Ireland,Post graduation,1.0,71093.0
804,Italy,Master’s degree,3.0,32429.0
805,United States of America,Bachelor’s degree,25.0,160000.0
